20220911 02:39:25 | INFO    | fcu.py  [line:39] - 本科目名額目前已額滿 ! (選課代號：3040)
20220911 02:39:25 | INFO    | fcu.py  [line:39] - 本科目名額目前已額滿 ! (選課代號：3040)
20220911 02:39:26 | INFO    | fcu.py  [line:39] - 本科目名額目前已額滿 ! (選課代號：3040)
20220911 02:39:26 | INFO    | fcu.py  [line:39] - 本科目名額目前已額滿 ! (選課代號：3040)
20220911 02:39:26 | INFO    | login.py  [line:49] - 登入成功
20220911 02:39:27 | INFO    | fcu.py  [line:39] - 本科目名額目前已額滿 ! (選課代號：3040)
20220911 02:39:27 | INFO    | fcu.py  [line:39] - 本科目名額目前已額滿 ! (選課代號：3040)
20220911 02:39:27 | INFO    | fcu.py  [line:39] - 本科目名額目前已額滿 ! (選課代號：3040)
20220911 02:39:27 | INFO    | fcu.py  [line:39] - 本科目名額目前已額滿 ! (選課代號：3040)
20220911 02:39:28 | INFO    | fcu.py  [line:39] - 本科目名額目前已額滿 ! (選課代號：3040)
20220911 02:39:28 | INFO    | fcu.py  [line:39] - 本科目名額目前已額滿 ! (選課代號：3040)
20220911 02:39:28 | INFO    | fcu.py  [line:39] - 本科目名額目前已額滿 ! (選課代號：3040)
20220911 02:39:29 | INFO    | fcu.py  [line:39] - 本科目名額目前已額滿 ! (選課代號：3040)
20220911 02:39:29 | INFO    | fcu.py  [line:39] - 本科目名額目前已額滿 ! (選課代號：3040)
20220911 02:39:30 | INFO    | fcu.py  [line:39] - 本科目名額目前已額滿 ! (選課代號：3040)
20220911 02:39:30 | INFO    | fcu.py  [line:39] - 本科目名額目前已額滿 ! (選課代號：3040)
20220911 02:39:30 | INFO    | fcu.py  [line:39] - 本科目名額目前已額滿 ! (選課代號：3040)
20220911 02:39:30 | INFO    | fcu.py  [line:39] - 本科目名額目前已額滿 ! (選課代號：3040)
20220911 02:39:31 | INFO    | fcu.py  [line:39] - 本科目名額目前已額滿 ! (選課代號：3040)
20220911 02:39:31 | INFO    | fcu.py  [line:39] - 本科目名額目前已額滿 ! (選課代號：3040)
20220911 02:39:31 | INFO    | fcu.py  [line:39] - 本科目名額目前已額滿 ! (選課代號：3040)
20220911 02:39:31 | INFO    | fcu.py  [line:39] - 本科目名額目前已額滿 ! (選課代號：3040)
20220911 02:39:32 | INFO    | fcu.py  [line:39] - 本科目名額目前已額滿 ! (選課代號：3040)
20220911 02:39:32 | INFO    | fcu.py  [line:39] - 本科目名額目前已額滿 ! (選課代號：3040)
20220911 02:39:32 | INFO    | fcu.py  [line:39] - 本科目名額目前已額滿 ! (選課代號：3040)
20220911 02:39:32 | INFO    | fcu.py  [line:39] - 本科目名額目前已額滿 ! (選課代號：3040)
20220911 02:39:33 | INFO    | fcu.py  [line:39] - 本科目名額目前已額滿 ! (選課代號：3040)
20220911 02:39:33 | INFO    | fcu.py  [line:39] - 本科目名額目前已額滿 ! (選課代號：3040)
20220911 02:39:33 | INFO    | fcu.py  [line:39] - 本科目名額目前已額滿 ! (選課代號：3040)
20220911 02:39:33 | INFO    | fcu.py  [line:39] - 本科目名額目前已額滿 ! (選課代號：3040)
20220911 02:39:34 | INFO    | fcu.py  [line:39] - 本科目名額目前已額滿 ! (選課代號：3040)
20220911 02:39:34 | INFO    | fcu.py  [line:39] - 本科目名額目前已額滿 ! (選課代號：3040)
20220911 02:39:34 | INFO    | fcu.py  [line:39] - 本科目名額目前已額滿 ! (選課代號：3040)
20220911 02:39:34 | INFO    | fcu.py  [line:39] - 本科目名額目前已額滿 ! (選課代號：3040)
20220911 02:39:35 | INFO    | fcu.py  [line:39] - 本科目名額目前已額滿 ! (選課代號：3040)
20220911 02:39:35 | INFO    | login.py  [line:49] - 登入成功
20220911 02:39:35 | INFO    | fcu.py  [line:39] - 本科目名額目前已額滿 ! (選課代號：3040)
20220911 02:39:37 | INFO    | fcu.py  [line:39] - 本科目名額目前已額滿 ! (選課代號：3040)
20220911 02:39:37 | INFO    | fcu.py  [line:39] - 本科目名額目前已額滿 ! (選課代號：3040)
20220911 02:39:37 | INFO    | fcu.py  [line:39] - 本科目名額目前已額滿 ! (選課代號：3040)
20220911 02:39:37 | INFO    | fcu.py  [line:39] - 本科目名額目前已額滿 ! (選課代號：3040)
20220911 02:39:38 | INFO    | fcu.py  [line:39] - 本科目名額目前已額滿 ! (選課代號：3040)
20220911 02:39:38 | INFO    | fcu.py  [line:39] - 本科目名額目前已額滿 ! (選課代號：3040)
20220911 02:39:38 | INFO    | fcu.py  [line:39] - 本科目名額目前已額滿 ! (選課代號：3040)
20220911 02:39:38 | INFO    | fcu.py  [line:39] - 本科目名額目前已額滿 ! (選課代號：3040)
20220911 02:39:39 | INFO    | fcu.py  [line:39] - 本科目名額目前已額滿 ! (選課代號：3040)
20220911 02:39:39 | INFO    | fcu.py  [line:39] - 本科目名額目前已額滿 ! (選課代號：3040)
20220911 02:39:39 | INFO    | fcu.py  [line:39] - 本科目名額目前已額滿 ! (選課代號：3040)
20220911 02:39:40 | INFO    | fcu.py  [line:39] - 本科目名額目前已額滿 ! (選課代號：3040)
20220911 02:39:40 | INFO    | fcu.py  [line:39] - 本科目名額目前已額滿 ! (選課代號：3040)
20220911 02:39:40 | INFO    | fcu.py  [line:39] - 本科目名額目前已額滿 ! (選課代號：3040)
20220911 02:39:40 | INFO    | fcu.py  [line:39] - 本科目名額目前已額滿 ! (選課代號：3040)
20220911 02:39:40 | INFO    | fcu.py  [line:39] - 本科目名額目前已額滿 ! (選課代號：3040)
20220911 02:39:41 | INFO    | fcu.py  [line:39] - 本科目名額目前已額滿 ! (選課代號：3040)
20220911 02:39:41 | INFO    | fcu.py  [line:39] - 本科目名額目前已額滿 ! (選課代號：3040)
20220911 02:39:41 | INFO    | fcu.py  [line:39] - 本科目名額目前已額滿 ! (選課代號：3040)
20220911 02:39:42 | INFO    | fcu.py  [line:39] - 本科目名額目前已額滿 ! (選課代號：3040)
20220911 02:39:42 | INFO    | fcu.py  [line:39] - 本科目名額目前已額滿 ! (選課代號：3040)
20220911 02:39:42 | INFO    | fcu.py  [line:39] - 本科目名額目前已額滿 ! (選課代號：3040)
20220911 02:39:42 | INFO    | fcu.py  [line:39] - 本科目名額目前已額滿 ! (選課代號：3040)
20220911 02:39:43 | INFO    | fcu.py  [line:39] - 本科目名額目前已額滿 ! (選課代號：3040)
20220911 02:39:43 | INFO    | fcu.py  [line:39] - 本科目名額目前已額滿 ! (選課代號：3040)
20220911 02:39:43 | INFO    | fcu.py  [line:39] - 本科目名額目前已額滿 ! (選課代號：3040)
20220911 02:39:44 | INFO    | fcu.py  [line:39] - 本科目名額目前已額滿 ! (選課代號：3040)
20220911 02:39:44 | INFO    | fcu.py  [line:39] - 本科目名額目前已額滿 ! (選課代號：3040)
20220911 02:39:44 | INFO    | fcu.py  [line:39] - 本科目名額目前已額滿 ! (選課代號：3040)
20220911 02:39:45 | INFO    | login.py  [line:49] - 登入成功
20220911 02:39:45 | INFO    | fcu.py  [line:39] - 本科目名額目前已額滿 ! (選課代號：3040)
20220911 02:39:45 | INFO    | fcu.py  [line:39] - 本科目名額目前已額滿 ! (選課代號：3040)
20220911 02:39:46 | INFO    | fcu.py  [line:39] - 本科目名額目前已額滿 ! (選課代號：3040)
20220911 02:39:46 | INFO    | fcu.py  [line:39] - 本科目名額目前已額滿 ! (選課代號：3040)
20220911 02:39:46 | INFO    | fcu.py  [line:39] - 本科目名額目前已額滿 ! (選課代號：3040)
20220911 02:39:46 | INFO    | fcu.py  [line:39] - 本科目名額目前已額滿 ! (選課代號：3040)
20220911 02:39:47 | INFO    | fcu.py  [line:39] - 本科目名額目前已額滿 ! (選課代號：3040)
20220911 02:39:47 | INFO    | fcu.py  [line:39] - 本科目名額目前已額滿 ! (選課代號：3040)
20220911 02:39:47 | INFO    | fcu.py  [line:39] - 本科目名額目前已額滿 ! (選課代號：3040)
20220911 02:39:47 | INFO    | fcu.py  [line:39] - 本科目名額目前已額滿 ! (選課代號：3040)
20220911 02:39:48 | INFO    | fcu.py  [line:39] - 本科目名額目前已額滿 ! (選課代號：3040)
20220911 02:39:49 | INFO    | fcu.py  [line:39] - 本科目名額目前已額滿 ! (選課代號：3040)
20220911 02:39:49 | INFO    | fcu.py  [line:39] - 本科目名額目前已額滿 ! (選課代號：3040)
20220911 02:39:49 | INFO    | fcu.py  [line:39] - 本科目名額目前已額滿 ! (選課代號：3040)
20220911 02:39:49 | INFO    | fcu.py  [line:39] - 本科目名額目前已額滿 ! (選課代號：3040)
20220911 02:39:50 | INFO    | fcu.py  [line:39] - 本科目名額目前已額滿 ! (選課代號：3040)
20220911 02:39:50 | INFO    | fcu.py  [line:39] - 本科目名額目前已額滿 ! (選課代號：3040)
20220911 02:39:50 | INFO    | fcu.py  [line:39] - 本科目名額目前已額滿 ! (選課代號：3040)
20220911 02:39:50 | INFO    | fcu.py  [line:39] - 本科目名額目前已額滿 ! (選課代號：3040)
20220911 02:39:51 | INFO    | fcu.py  [line:39] - 本科目名額目前已額滿 ! (選課代號：3040)
20220911 02:39:52 | INFO    | fcu.py  [line:39] - 本科目名額目前已額滿 ! (選課代號：3040)
20220911 02:39:52 | INFO    | fcu.py  [line:39] - 本科目名額目前已額滿 ! (選課代號：3040)
20220911 02:39:52 | INFO    | fcu.py  [line:39] - 本科目名額目前已額滿 ! (選課代號：3040)
20220911 02:39:52 | INFO    | fcu.py  [line:39] - 本科目名額目前已額滿 ! (選課代號：3040)
20220911 02:39:53 | INFO    | fcu.py  [line:39] - 本科目名額目前已額滿 ! (選課代號：3040)
20220911 02:39:53 | INFO    | fcu.py  [line:39] - 本科目名額目前已額滿 ! (選課代號：3040)
20220911 02:39:53 | INFO    | fcu.py  [line:39] - 本科目名額目前已額滿 ! (選課代號：3040)
20220911 02:39:53 | INFO    | fcu.py  [line:39] - 本科目名額目前已額滿 ! (選課代號：3040)
20220911 02:39:54 | INFO    | fcu.py  [line:39] - 本科目名額目前已額滿 ! (選課代號：3040)
20220911 02:39:54 | INFO    | fcu.py  [line:39] - 本科目名額目前已額滿 ! (選課代號：3040)
20220911 02:39:54 | INFO    | login.py  [line:49] - 登入成功
20220911 02:39:55 | INFO    | fcu.py  [line:39] - 本科目名額目前已額滿 ! (選課代號：3040)
20220911 02:39:55 | INFO    | fcu.py  [line:39] - 本科目名額目前已額滿 ! (選課代號：3040)
20220911 02:39:55 | INFO    | fcu.py  [line:39] - 本科目名額目前已額滿 ! (選課代號：3040)
